ID,Nombre,FechaNacimiento,Sexo,ValorUnitario,EstadoMora,Embargable
482046,Cotizante482046,1979-01-27,F,20619.683493532997,false,true
838399,Cotizante838399,1996-03-26,M,37805.83945869183,true,true
478144,Cotizante478144,1975-05-24,M,36178.519743720666,false,false
659138,Cotizante659138,1958-04-06,F,48800.9943962325,true,true
539954,Cotizante539954,1991-03-03,F,23816.251850253742,false,false
473986,Cotizante473986,1996-10-20,F,29115.80990840974,true,false
330652,Cotizante330652,1988-11-14,M,27450.738975181146,true,true
341848,Cotizante341848,1982-08-14,M,49918.58531721684,false,false
440084,Cotizante440084,1970-03-03,F,32924.05044750952,false,false
810469,Cotizante810469,1998-12-07,F,45061.03177355329,true,false
691267,Cotizante691267,1991-04-25,M,24648.962043435593,true,true
923787,Cotizante923787,1950-01-13,F,22229.961837861756,true,true
703543,Cotizante703543,1961-10-08,M,46332.58028150024,false,false
767203,Cotizante767203,1993-08-09,M,21279.01975758516,true,false
805698,Cotizante805698,1997-06-10,F,34692.79889334951,false,true
493107,Cotizante493107,1980-02-05,F,33678.35153501987,true,true
19635,Cotizante19635,1986-09-03,M,27906.005955304383,true,true
290121,Cotizante290121,1953-11-22,F,36232.43708514729,true,false
626463,Cotizante626463,1975-02-14,F,34638.23933838332,true,false
111089,Cotizante111089,1969-04-22,M,45992.61983956724,true,true
657556,Cotizante657556,1971-12-27,M,33080.02543748577,true,false
704326,Cotizante704326,1952-02-12,M,38359.8882781595,true,false
323867,Cotizante323867,1990-11-03,M,37178.265723155244,true,true
900676,Cotizante900676,1979-03-15,M,44983.52623097731,true,true
539121,Cotizante539121,1966-02-20,M,25169.54965022551,true,false
415187,Cotizante415187,1960-09-18,F,39360.28640244966,true,false
51990,Cotizante51990,1952-03-11,F,36150.93097441941,true,true
36614,Cotizante36614,1980-02-11,F,27066.066381836405,false,false
805466,Cotizante805466,1986-01-08,M,28687.392075372103,true,true
663482,Cotizante663482,1984-09-27,M,43210.19895457677,false,false
446732,Cotizante446732,1993-06-21,M,32250.40452131722,true,true
479879,Cotizante479879,1980-03-26,M,32762.650599487555,true,false
919402,Cotizante919402,1962-06-26,M,49855.16086112353,true,true
919813,Cotizante919813,1976-09-01,M,24788.87150266223,false,true
466300,Cotizante466300,1979-09-10,M,36405.087982418234,true,true
426693,Cotizante426693,1994-12-08,M,31897.093259912774,true,true
443516,Cotizante443516,1951-07-09,F,36422.63005416702,false,true
683270,Cotizante683270,1953-02-16,F,21370.219129085854,false,false
674409,Cotizante674409,1997-02-17,M,42757.11261111911,false,true
368518,Cotizante368518,1972-01-08,F,32920.785971665115,false,true
126393,Cotizante126393,1987-01-06,M,31969.38369235485,false,true
961406,Cotizante961406,1969-01-25,M,30623.566972859153,true,true
103545,Cotizante103545,1970-12-07,M,43901.9601956853,true,false
210388,Cotizante210388,1990-03-09,M,20505.697740825548,false,true
99214,Cotizante99214,1959-12-22,F,38954.60189688778,true,true
4331,Cotizante4331,1993-11-27,M,36502.77242889585,false,true
484794,Cotizante484794,1972-05-13,M,33172.15143485432,false,false
259987,Cotizante259987,1968-09-25,F,20598.133613784947,true,true
528060,Cotizante528060,1981-05-03,M,34663.29683676852,false,false
407986,Cotizante407986,1969-08-11,M,23822.72304720551,true,false
599108,Cotizante599108,1995-05-15,F,21015.16537678492,true,false
594433,Cotizante594433,1982-06-07,M,26675.652144125586,true,true
892554,Cotizante892554,1991-07-18,F,36969.83788880355,false,false
155814,Cotizante155814,1974-04-17,M,33218.01061667604,false,false
649786,Cotizante649786,1958-03-10,M,44756.90029030871,false,true
372042,Cotizante372042,1956-04-20,M,45328.924545634465,true,false
54292,Cotizante54292,1971-09-18,M,49445.40902886913,true,true
329460,Cotizante329460,1996-08-15,M,33314.50483653552,false,false
710505,Cotizante710505,1963-12-23,M,21685.888341200425,false,false
109574,Cotizante109574,1978-05-16,M,25561.18586245929,true,true
26502,Cotizante26502,1973-04-01,M,47062.429902034455,false,false
567724,Cotizante567724,1981-09-11,M,49552.98617511641,false,false
996370,Cotizante996370,1957-07-17,M,38961.540529331774,true,true
101970,Cotizante101970,1987-12-07,F,35639.57397652721,false,false
738275,Cotizante738275,1971-12-16,M,43726.62346027291,true,true
572718,Cotizante572718,1957-07-26,F,40386.17915420695,false,true
245892,Cotizante245892,1970-11-12,F,28457.216541056874,true,true
761415,Cotizante761415,1981-06-17,M,21943.105919409736,false,true
812990,Cotizante812990,1997-03-25,M,47571.071023254946,false,true
405998,Cotizante405998,1956-12-07,M,38196.290452499044,false,false
448097,Cotizante448097,1961-12-07,F,39504.81794268321,true,true
280346,Cotizante280346,1952-07-25,M,38248.153229810865,false,false
657228,Cotizante657228,1972-01-12,F,20694.52216116731,false,false
284260,Cotizante284260,1960-03-10,M,33888.25659662948,false,true
558978,Cotizante558978,1976-06-06,M,35414.68609994727,true,false
759824,Cotizante759824,1951-12-03,F,25209.494158074715,false,true
770192,Cotizante770192,1958-08-10,M,40480.620613735286,false,false
370452,Cotizante370452,1996-01-13,M,40811.707463503626,false,true
747191,Cotizante747191,1968-01-17,M,34499.268650826205,false,false
360221,Cotizante360221,1963-02-19,F,21587.77595275669,false,true
322101,Cotizante322101,1974-05-08,F,33301.33161749841,true,true
243639,Cotizante243639,1984-07-13,M,23528.34776467832,false,false
136550,Cotizante136550,1958-09-07,F,40621.59637197334,true,false
948761,Cotizante948761,1987-05-26,F,30915.416132315833,false,false
131707,Cotizante131707,1993-05-11,F,49136.413581558285,true,true
356548,Cotizante356548,1993-07-10,F,43515.99351912463,true,false
433812,Cotizante433812,1961-09-20,F,30604.019136335293,true,true
207263,Cotizante207263,1953-12-23,F,23874.53348140933,true,true
190088,Cotizante190088,1982-02-26,M,33124.54821439282,true,true
325469,Cotizante325469,1984-01-22,M,23699.477648711854,false,false
487234,Cotizante487234,1988-11-15,M,23346.6468170574,false,true
709955,Cotizante709955,1970-05-27,F,43492.86275681354,false,true
233567,Cotizante233567,1962-10-17,M,45337.91126124479,true,true
592153,Cotizante592153,1955-01-24,M,43704.57245509616,true,false
470702,Cotizante470702,1970-11-02,F,41490.02387619447,true,false
